Trial #,Modality,HR Mod,Actual HR,HR Participant Response,Accuracy,Confidence Rating,HR Question Duration (ms),Confidence Question Duration (ms),Total Duration of Entire Study (ms)
Trial1,a,-15,82,no match,1,3,1033.219,1542.883,end_time_placeholder
Trial2,a,+15,88,no match,1,10,1508.922,2133.594,end_time_placeholder
Trial3,a,real,81,no match,0,5,506.7344,1276.594,end_time_placeholder
Trial4,a,+15,80,no match,1,8,296.7734,2488.492,end_time_placeholder
Trial5,a,-15,80,matched,0,7,1264.891,1933.266,end_time_placeholder
Trial6,a,+30,81,no match,1,8,397.5938,1254.891,end_time_placeholder
Trial7,a,+30,85,no match,1,8,519.7188,1322.547,end_time_placeholder
Trial8,a,+30,82,matched,0,4,431.8438,1854.688,end_time_placeholder
Trial9,a,-30,78,no match,1,5,1286.266,1400.969,end_time_placeholder
Trial10,a,-30,81,no match,1,6,695.7656,1133.375,end_time_placeholder
Trial11,a,+15,83,matched,0,6,430.5781,1132.938,end_time_placeholder
Trial12,a,-15,85,matched,0,5,2199.469,854.5938,end_time_placeholder
Trial13,a,real,87,no match,0,7,564.9219,1057.75,end_time_placeholder
Trial14,a,-30,84,matched,0,6,643.6875,1089.234,end_time_placeholder
Trial15,a,real,81,matched,1,8,819.9375,1156.016,end_time_placeholder
Trial1,c,-15,85,matched,0,7,1032,1377.844,end_time_placeholder
Trial2,c,+30,84,no match,1,7,353.2813,1499.688,end_time_placeholder
Trial3,c,-15,85,matched,0,7,275.1875,1033.188,end_time_placeholder
Trial4,c,+30,82,no match,1,8,320.1875,1323.188,end_time_placeholder
Trial5,c,-30,87,no match,1,3,1055.125,2332.563,end_time_placeholder
Trial6,c,+15,85,no match,1,7,276.6563,1032.563,end_time_placeholder
Trial7,c,+30,84,no match,1,8,325.9688,1300.781,end_time_placeholder
Trial8,c,real,86,no match,0,5,275.5938,1799.813,end_time_placeholder
Trial9,c,+15,85,no match,1,7,453.4063,1077.5,end_time_placeholder
Trial10,c,-30,85,matched,0,7,698.4063,1589.656,end_time_placeholder
Trial11,c,real,82,matched,1,7,931.6563,999.75,end_time_placeholder
Trial12,c,+15,85,no match,1,7,3232.688,1277.938,end_time_placeholder
Trial13,c,-15,81,no match,1,8,464.0313,1144.813,end_time_placeholder
Trial14,c,real,83,matched,1,7,665.4375,1745,end_time_placeholder
Trial15,c,-30,84,no match,1,7,665.1875,889.625,end_time_placeholder
Trial1,a,+15,84,matched,0,4,932.1875,2244.141,end_time_placeholder
Trial2,a,real,79,matched,1,8,285.9766,1466.352,end_time_placeholder
Trial3,a,-15,76,matched,0,6,727.5547,1457,end_time_placeholder
Trial4,a,real,79,no match,0,8,1383.672,1177.711,end_time_placeholder
Trial5,a,+30,80,no match,1,10,886.7031,1411.578,end_time_placeholder
Trial6,a,-15,77,matched,0,7,696.5469,1479.25,end_time_placeholder
Trial7,a,-30,78,matched,0,7,772.7656,1511.094,end_time_placeholder
Trial8,a,+15,83,no match,1,8,739.9063,1057.25,end_time_placeholder
Trial9,a,-30,81,matched,0,6,962.7031,1077.156,end_time_placeholder
Trial10,a,+30,78,no match,1,10,842.4063,1177.141,end_time_placeholder
Trial11,a,+15,76,no match,1,9,331.625,1266.75,end_time_placeholder
Trial12,a,-15,76,matched,0,6,586.75,1686.969,end_time_placeholder
Trial13,a,real,78,matched,1,7,404.1406,1256.578,end_time_placeholder
