Trial #,Modality,HR Mod,Actual HR,HR Participant Response,Accuracy,Confidence Rating,HR Question Duration (ms),Confidence Question Duration (ms),Total Duration of Entire Study (ms)
Trial1,a,,0,no match,1,3,3201.031,1520.086,end_time_placeholder
Trial2,a,,0,matched,0,3,1599.352,1176.836,end_time_placeholder
Trial3,a,,0,no match,1,5,1132.203,1245.031,end_time_placeholder
Trial4,a,,0,matched,0,3,986.7969,1622.266,end_time_placeholder
Trial5,a,,0,matched,0,6,753.3594,1577.422,end_time_placeholder
Trial6,a,,0,no match,1,8,5617.891,1477.578,end_time_placeholder
Trial7,a,,0,no match,1,9,2564.797,2699.938,end_time_placeholder
Trial8,a,,0,matched,0,3,2442.703,2977.563,end_time_placeholder
Trial9,a,,0,matched,0,3,1097.328,1376.672,end_time_placeholder
Trial10,a,,0,no match,1,4,819.6563,1811.406,end_time_placeholder
Trial11,a,,0,matched,0,3,908.2969,1544.438,end_time_placeholder
Trial12,a,,0,no match,1,7,909.7813,1189.5,end_time_placeholder
Trial13,a,,0,matched,0,3,977.25,954.7188,end_time_placeholder
Trial14,a,,0,no match,1,8,1465.813,977.1875,end_time_placeholder
Trial15,a,,0,matched,0,4,18041.81,2488.406,end_time_placeholder
Trial1,a,,0,matched,0,3,1273.813,1188.781,end_time_placeholder
Trial2,a,,0,no match,1,6,909.9375,799.9375,end_time_placeholder
Trial3,a,,0,matched,0,4,563.0938,834.1875,end_time_placeholder
Trial4,a,,0,no match,1,5,843.2188,2277.844,end_time_placeholder
Trial5,a,,0,matched,0,0,523.5938,1241.156,end_time_placeholder
Trial6,a,,0,matched,0,0,532.6563,921.3125,end_time_placeholder
Trial7,a,,0,matched,0,0,298.2813,510.8438,end_time_placeholder
Trial8,a,,0,matched,0,0,519.7188,521.625,end_time_placeholder
