QuestionType,Question,QuestionID,Answer_Participant_13_condition_VCA,Answer_Participant_13_condition_VCA,Answer_Participant_13_condition_VCA,Answer_Participant_13_condition_VCA,Answer_Participant_13_condition_VCA
radio,In the computer generated world I had a sense of 'being there':,q1,4,4,6,6,1
radio,Somehow I felt that the virtual world surrounded me...,q2,4,4,6,5,1
radio,I felt like I was just perceiving pictures...,q3,5,4,6,5,1
radio,I did not feel present in the virtual space...,q4,5,5,6,5,1
radio,I had a sense of acting in the virtual space, rather than operating something from outside...,q5,5,5,6,2,1
radio,I felt present in the virtual space...,q6,5,5,6,2,1
radio,How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds, room temperature, other people, etc.)?,q7,3,4,5,6,1
radio,I was not aware of my real environment...,q8,3,4,6,6,1
radio,I still paid attention to the real environment...,q9,3,4,6,7,1
radio,I was completely captivated by the virtual world...,q10,5,4,4,7,1
radio,How real did the virtual world seem to you?,q11,5,4,7,2,1
radio,How much did your experience in the virtual environment seem consistent with your real world experience?,q12,6,4,7,2,1
radio,How real did the virtual world seem to you?,q13,4,4,6,4,1
radio,The virtual world seemed more realistic than the real world...,q14,4,3,7,4,1

