unityTimeStamp,sessionTime,RRi
2024-05-06|15:40:33.395,0.099999,801.390
2024-05-06|15:40:34.405,1.099999,812.653
2024-05-06|15:40:35.406,2.099999,799.575
2024-05-06|15:40:36.406,3.099999,804.183
2024-05-06|15:40:37.417,4.120000,803.714
2024-05-06|15:40:38.417,5.120000,808.148
2024-05-06|15:40:39.429,6.120000,811.041
2024-05-06|15:40:40.440,7.140000,806.738
2024-05-06|15:40:41.440,8.140000,798.484
2024-05-06|15:40:42.440,9.140000,779.379
2024-05-06|15:40:43.440,10.140000,769.113
2024-05-06|15:40:44.440,11.140000,768.103
2024-05-06|15:40:45.440,12.140000,767.406
2024-05-06|15:40:46.452,13.160000,754.089
2024-05-06|15:40:47.462,14.160000,768.413
2024-05-06|15:40:48.462,15.160000,757.922
2024-05-06|15:40:49.473,16.180000,747.718
2024-05-06|15:40:50.484,17.180000,729.022
