unityTimeStamp,sessionTime,RRi
2024-05-06|17:21:13.247,0.720001,976.286
2024-05-06|17:21:14.248,1.720001,992.598
2024-05-06|17:21:15.248,2.720001,1015.377
2024-05-06|17:21:16.248,3.720001,1007.292
2024-05-06|17:21:17.251,4.720001,1018.723
2024-05-06|17:21:18.252,5.720001,1020.724
2024-05-06|17:21:19.253,6.720001,1029.382
2024-05-06|17:21:20.255,7.720001,1029.159
2024-05-06|17:21:21.257,8.720001,1040.027
2024-05-06|17:21:22.260,9.720001,1040.987
2024-05-06|17:21:23.261,10.720000,1036.771
2024-05-06|17:21:24.262,11.720000,1046.408
2024-05-06|17:21:25.263,12.720000,1041.365
2024-05-06|17:21:26.265,13.720000,1028.040
2024-05-06|17:21:27.266,14.740010,1044.361
