unityTimeStamp,sessionTime,ExciteOMeter
2024-06-03|13:57:20.533,0.333341,0.50665
2024-06-03|13:57:20.533,0.333341,0.53703
2024-06-03|13:57:20.533,1.355586,0.57450
2024-06-03|13:57:20.533,2.333385,0.44535
2024-06-03|13:57:20.533,3.355630,0.48092
2024-06-03|13:57:20.533,4.333430,0.15866
2024-06-03|13:57:20.533,5.455677,0.18106
2024-06-03|13:57:20.533,5.455677,0.18733
2024-06-03|13:57:20.533,6.377920,0.33760
2024-06-03|13:57:20.533,7.355720,0.35168
2024-06-03|13:57:20.533,7.355720,0.43575
2024-06-03|13:57:20.533,8.333518,0.52120
2024-06-03|13:57:20.533,9.355763,0.51338
2024-06-03|13:57:20.533,10.322450,0.53344
2024-06-03|13:57:20.533,10.322450,0.08193
2024-06-03|13:57:20.533,11.344700,0.57536
2024-06-03|13:57:20.533,12.244720,0.82698
2024-06-03|13:57:20.533,12.244720,0.82491
2024-06-03|13:57:20.533,13.278070,0.85496
2024-06-03|13:57:20.533,14.244760,0.87899
2024-06-03|13:57:20.533,14.244760,0.89985
2024-06-03|13:57:20.533,15.267010,0.90678
2024-06-03|13:57:20.533,15.267010,0.90387
2024-06-03|13:57:20.533,16.300360,0.88363
2024-06-03|13:57:20.533,17.322610,0.76348
2024-06-03|13:57:20.533,17.322610,0.74534
2024-06-03|13:57:20.533,18.289300,0.74519
2024-06-03|13:57:20.533,19.267090,0.75636
2024-06-03|13:57:20.533,19.267090,0.75121
2024-06-03|13:57:20.533,20.244900,0.74326
2024-06-03|13:57:20.533,21.278250,0.71061
2024-06-03|13:57:20.533,22.211610,0.65246
2024-06-03|13:57:20.533,23.233850,0.46309
2024-06-03|13:57:20.533,23.233850,0.33727
2024-06-03|13:57:20.533,24.211650,0.42970
2024-06-03|13:57:20.533,25.200560,0.42375
2024-06-03|13:57:20.533,26.222810,0.31632
2024-06-03|13:57:20.533,27.200600,0.38622
2024-06-03|13:57:20.533,27.200600,0.45014
2024-06-03|13:57:20.533,28.222850,0.48385
2024-06-03|13:57:20.533,29.189540,0.54311
2024-06-03|13:57:20.533,30.222890,0.55799
2024-06-03|13:57:20.533,31.200690,0.57856
2024-06-03|13:57:20.533,32.211830,0.45721
2024-06-03|13:57:20.533,33.189620,0.24211
2024-06-03|13:57:20.533,33.189620,0.35376
2024-06-03|13:57:20.533,34.145200,0.33448
2024-06-03|13:57:20.533,35.123000,0.37661
2024-06-03|13:57:20.533,36.156360,0.43307
2024-06-03|13:57:20.533,36.156360,0.55656
2024-06-03|13:57:20.533,37.045270,0.65091
2024-06-03|13:57:20.533,38.067510,0.73666
2024-06-03|13:57:20.533,38.067510,0.72670
2024-06-03|13:57:20.533,39.045310,0.65290
2024-06-03|13:57:20.533,40.067560,0.47065
2024-06-03|13:57:20.533,41.045360,0.51476
2024-06-03|13:57:20.533,42.067600,0.36483
2024-06-03|13:57:20.533,43.045400,0.39771
2024-06-03|13:57:20.533,43.045400,0.41361
2024-06-03|13:57:20.533,44.067650,0.46412
2024-06-03|13:57:20.533,45.045440,0.65806
2024-06-03|13:57:20.533,46.023240,0.73514
2024-06-03|13:57:20.533,46.023240,0.75460
2024-06-03|13:57:20.533,47.001050,0.71273
2024-06-03|13:57:20.533,47.989960,0.63397
2024-06-03|13:57:20.533,48.967750,0.67122
2024-06-03|13:57:20.533,49.990000,0.55569
2024-06-03|13:57:20.533,49.990000,0.44935
2024-06-03|13:57:20.533,50.956690,0.43902
2024-06-03|13:57:20.533,51.990040,0.07120
2024-06-03|13:57:20.533,52.967840,0.10975
2024-06-03|13:57:20.533,54.034530,0.25044
2024-06-03|13:57:20.533,54.034530,0.27437
2024-06-03|13:57:20.533,54.956780,0.27434
2024-06-03|13:57:20.533,55.979020,0.22728
2024-06-03|13:57:20.533,55.979020,0.33911
2024-06-03|13:57:20.533,57.901290,0.37958
2024-06-03|13:57:20.533,58.879090,0.38727
2024-06-03|13:57:20.533,58.879090,0.00150
2024-06-03|13:57:20.533,59.923560,0.11170
2024-06-03|13:57:20.533,60.845800,0.42837
2024-06-03|13:57:20.533,61.868040,0.51056
2024-06-03|13:57:20.533,62.845840,0.56470
2024-06-03|13:57:20.533,62.845840,0.63592
2024-06-03|13:57:20.533,63.868080,0.69143
2024-06-03|13:57:20.533,64.890340,0.59451
2024-06-03|13:57:20.533,65.868130,0.50619
2024-06-03|13:57:20.533,65.868130,0.44116
2024-06-03|13:57:20.533,66.890380,0.39199
2024-06-03|13:57:20.533,67.968180,0.42887
2024-06-03|13:57:20.533,68.812640,0.58856
2024-06-03|13:57:20.533,68.812640,0.67072
2024-06-03|13:57:20.533,69.790440,0.64575
2024-06-03|13:57:20.533,70.746020,0.34164
2024-06-03|13:57:20.533,71.723820,0.46965
2024-06-03|13:57:20.533,72.712730,0.54205
2024-06-03|13:57:20.533,72.712730,0.64477
2024-06-03|13:57:20.533,73.679420,0.66301
2024-06-03|13:57:20.533,74.712780,0.62609
2024-06-03|13:57:20.533,75.690570,0.64873
2024-06-03|13:57:20.533,75.690570,0.58942
2024-06-03|13:57:20.533,76.712820,0.57326
2024-06-03|13:57:20.533,77.679500,0.70499
2024-06-03|13:57:20.533,77.679500,0.75894
2024-06-03|13:57:20.533,78.712870,0.68715
2024-06-03|13:57:20.533,79.679550,0.65627
2024-06-03|13:57:20.533,80.757350,0.42603
2024-06-03|13:57:20.534,81.635150,0.48706
2024-06-03|13:57:20.534,81.635150,0.57007
2024-06-03|13:57:20.534,82.657390,0.65503
2024-06-03|13:57:20.534,83.635190,0.64513
2024-06-03|13:57:20.534,84.657440,0.64115
2024-06-03|13:57:20.534,84.657440,0.62720
2024-06-03|13:57:20.534,85.635240,0.75118
2024-06-03|13:57:20.534,86.701930,0.79236
2024-06-03|13:57:20.534,86.713040,0.73649
