unityTimeStamp,sessionTime,RMSSD
2024-06-03|13:56:00.145,0.3333406,47.22263
2024-06-03|13:56:00.145,0.3333406,47.22263
2024-06-03|13:56:00.147,1.355586,49.50378
2024-06-03|13:56:01.121,2.333385,52.21947
2024-06-03|13:56:02.142,3.35563,47.90136
2024-06-03|13:56:03.127,4.33343,107.0461
2024-06-03|13:56:03.138,5.455677,109.1398
2024-06-03|13:56:04.148,5.455677,133.4612
2024-06-03|13:56:05.124,6.37792,126.0749
2024-06-03|13:56:05.135,7.35572,130.8116
2024-06-03|13:56:06.158,7.35572,130.9674
2024-06-03|13:56:07.125,8.333518,123.7544
2024-06-03|13:56:07.136,9.355763,129.1686
2024-06-03|13:56:08.148,10.32245,122.5417
2024-06-03|13:56:08.159,10.32245,129.1502
2024-06-03|13:56:09.179,11.3447,78.97688
2024-06-03|13:56:10.237,12.24472,14.96723
2024-06-03|13:56:10.245,12.24472,13.31456
2024-06-03|13:56:11.169,13.27807,13.26672
2024-06-03|13:56:12.147,14.24476,11.76748
2024-06-03|13:56:12.158,14.24476,10.55812
2024-06-03|13:56:13.124,15.26701,7.696348
2024-06-03|13:56:14.191,15.26701,10.49268
2024-06-03|13:56:15.124,16.30036,17.70726
2024-06-03|13:56:16.146,17.32261,55.07847
2024-06-03|13:56:16.157,17.32261,58.01307
2024-06-03|13:56:17.125,18.2893,58.50779
2024-06-03|13:56:18.146,19.26709,58.73554
2024-06-03|13:56:19.203,19.26709,58.59465
2024-06-03|13:56:20.147,20.2449,59.46696
2024-06-03|13:56:20.158,21.27825,62.65325
2024-06-03|13:56:21.169,22.21161,62.54915
2024-06-03|13:56:22.136,23.23385,61.71775
2024-06-03|13:56:23.169,23.23385,52.22454
2024-06-03|13:56:24.147,24.21165,28.13073
2024-06-03|13:56:25.158,25.20056,34.44835
2024-06-03|13:56:26.135,26.22281,67.49736
2024-06-03|13:56:26.147,27.2006,71.07396
2024-06-03|13:56:27.158,27.2006,68.63242
2024-06-03|13:56:28.169,28.22285,69.5648
2024-06-03|13:56:29.169,29.18954,70.13732
2024-06-03|13:56:29.179,30.22289,73.2393
2024-06-03|13:56:30.135,31.20069,74.95891
2024-06-03|13:56:31.157,32.21183,73.434
2024-06-03|13:56:31.168,33.18962,74.36495
2024-06-03|13:56:32.135,33.18962,46.69608
2024-06-03|13:56:33.157,34.1452,55.68024
2024-06-03|13:56:34.135,35.123,55.11693
2024-06-03|13:56:35.157,36.15636,62.40668
2024-06-03|13:56:36.135,36.15636,57.72302
2024-06-03|13:56:36.146,37.04527,58.15173
2024-06-03|13:56:37.191,38.06751,57.08785
2024-06-03|13:56:38.134,38.06751,62.74704
2024-06-03|13:56:39.157,39.04531,59.85699
2024-06-03|13:56:39.168,40.06756,59.20543
2024-06-03|13:56:40.134,41.04536,50.26109
2024-06-03|13:56:41.157,42.0676,51.80283
2024-06-03|13:56:42.168,43.0454,40.36983
2024-06-03|13:56:43.157,43.0454,46.39032
2024-06-03|13:56:43.168,44.06765,47.39319
2024-06-03|13:56:44.123,45.04544,46.25833
2024-06-03|13:56:45.156,46.02324,32.9243
2024-06-03|13:56:46.168,46.02324,34.07567
2024-06-03|13:56:47.201,47.00105,40.62547
2024-06-03|13:56:47.212,47.98996,42.6134
2024-06-03|13:56:48.123,48.96775,40.67838
2024-06-03|13:56:49.145,49.99,42.90211
2024-06-03|13:56:49.156,49.99,41.52784
2024-06-03|13:56:51.179,50.95669,36.5773
2024-06-03|13:56:52.123,51.99004,185.0659
2024-06-03|13:56:52.134,52.96784,195.0668
2024-06-03|13:56:53.200,54.03453,224.3427
2024-06-03|13:56:54.122,54.03453,223.6245
2024-06-03|13:56:55.145,54.95678,224.2059
2024-06-03|13:56:56.122,55.97902,213.331
2024-06-03|13:56:56.133,55.97902,224.7348
2024-06-03|13:56:57.144,57.90129,224.1002
2024-06-03|13:56:58.167,58.87909,223.9756
2024-06-03|13:56:59.144,58.87909,213.2203
2024-06-03|13:56:59.156,59.92356,117.2743
2024-06-03|13:57:00.200,60.8458,37.55783
2024-06-03|13:57:01.278,61.86804,33.11365
2024-06-03|13:57:02.167,62.84584,38.36287
2024-06-03|13:57:02.178,62.84584,38.39352
2024-06-03|13:57:03.144,63.86808,36.70599
2024-06-03|13:57:04.166,64.89034,67.51321
2024-06-03|13:57:05.144,65.86813,67.88885
2024-06-03|13:57:06.166,65.86813,66.50885
2024-06-03|13:57:06.177,66.89038,69.12012
2024-06-03|13:57:07.133,67.96818,68.75505
2024-06-03|13:57:08.166,68.81264,68.59767
2024-06-03|13:57:09.178,68.81264,60.57915
2024-06-03|13:57:09.188,69.79044,63.05365
2024-06-03|13:57:10.166,70.74602,62.99984
2024-06-03|13:57:11.133,71.72382,34.27303
2024-06-03|13:57:11.144,72.71273,35.34263
2024-06-03|13:57:12.166,72.71273,34.93098
2024-06-03|13:57:13.133,73.67942,30.80432
2024-06-03|13:57:14.210,74.71278,50.50821
2024-06-03|13:57:15.132,75.69057,49.97863
2024-06-03|13:57:15.144,75.69057,52.56028
2024-06-03|13:57:16.155,76.71282,53.72968
2024-06-03|13:57:17.132,77.6795,53.71883
2024-06-03|13:57:18.154,77.6795,45.60662
2024-06-03|13:57:18.165,78.71287,47.67408
2024-06-03|13:57:19.132,79.67955,50.43157
2024-06-03|13:57:20.198,80.75735,51.15858
2024-06-03|13:57:20.210,81.63515,34.16263
2024-06-03|13:57:20.532,81.63515,34.16263
2024-06-03|13:57:20.532,82.65739,34.16263
2024-06-03|13:57:20.532,83.63519,34.16263
2024-06-03|13:57:20.532,84.65744,34.16263
2024-06-03|13:57:20.532,84.65744,34.16263
2024-06-03|13:57:20.532,85.63524,34.16263
2024-06-03|13:57:20.532,86.70193,34.16263
2024-06-03|13:57:20.532,86.71304,34.16263
